Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating
126,36282137,5%,55%,4%,Intel Core i5-4210U,55.8%,Intel HD 4400 (Mobile 1.0/1.1 GHz),2.6%
127,36282143,45%,81%,38%,Intel Core i7-7700K,77.8%,Nvidia GTX 1060-3GB,53.9%
128,36282148,5%,55%,4%,AMD FX-6300,62.1%,Nvidia GeForce GT 730,5.3%
129,36282149,100%,91%,85%,Intel Core i5-9400F,90.6%,Nvidia RTX 2070,108.6%
130,36282159,41%,75%,34%,AMD FX-8350,70.5%,AMD RX 580,53.7%
131,36282164,95%,91%,90%,AMD Ryzen 5 3600,86.1%,Nvidia RTX 2060S (Super),106.4%
132,36282170,70%,96%,64%,Intel Core i5-10400F,92.3%,Nvidia GTX 1660S (Super),70%
133,36282173,28%,89%,28%,AMD Ryzen 5 3600,78.1%,Nvidia GTX 760,25.8%
134,36282181,13%,67%,12%,AMD Ryzen 5 3500U,64.2%,AMD Radeon Vega 8 Graphics,9.2%
135,36282191,72%,92%,61%,Intel Core i7-7700K,94.5%,Nvidia GTX 1070,75%
136,36282198,12%,84%,12%,Intel Core i7-10750H,91.3%,Intel UHD Graphics,2.3%
137,36282202,22%,82%,17%,Intel Core i5-3570K,76.5%,Nvidia GTX 1060-3GB,55.3%
138,36282211,32%,82%,26%,Intel Core i5-6600,75.9%,Nvidia GTX 770,35.5%
139,36282484,54%,97%,48%,AMD Ryzen 5 3500X,90.5%,AMD RX 570,49.9%
140,36282490,13%,47%,13%,AMD Ryzen 7 4800H,51%,AMD Radeon Graphics,8.3%
141,36282495,101%,101%,94%,Intel Core i5-10600K,102.4%,Nvidia GTX 1070,95%
142,36282500,102%,100%,106%,Intel Core i9-9900K,95.5%,Nvidia RTX 2070,104.9%
143,36282505,57%,96%,49%,Intel Core i7-6700K,87.3%,Nvidia GTX 980,57.3%
144,36282509,33%,92%,32%,AMD Ryzen 5 3600,88%,Nvidia GTX 1050-Ti,28.7%
145,36282523,70%,94%,70%,AMD Ryzen 9 4900HS,91.2%,Nvidia GeForce RTX 2060 with Max-Q Design,69.8%
146,36282532,31%,85%,27%,AMD Ryzen 3 3300X,84.1%,Nvidia GTX 960,34.6%
147,36282540,28%,78%,24%,Intel Core i7-8750H,68.9%,Nvidia GTX 1050-Ti (Mobile),31.5%
148,36282549,91%,88%,95%,AMD Ryzen 7 3700X,87.2%,Nvidia RTX 2070,103.7%
149,36282554,151%,102%,151%,Intel Core i9-9900KS,103.7%,Nvidia RTX 2080S (Super),145.9%
150,36282557,14%,67%,13%,AMD Ryzen 7 3700U,57.4%,AMD Radeon RX Vega 10 Graphics,9.7%
151,36282565,42%,75%,31%,Intel Core i3-4170,69.1%,Nvidia GTX 1650S (Super),60.8%
152,36282573,131%,101%,127%,Intel Core i9-9900K,92.7%,Nvidia RTX 2080S (Super),139.5%
154,36282581,6%,62%,5%,Intel Core i7-920,65.4%,Nvidia GTX 275,10.3%
155,36282586,56%,94%,54%,AMD Ryzen 7 3700X,85.3%,AMD RX 590,56.5%
156,36282591,73%,75%,62%,AMD FX-8370,71.3%,Nvidia GTX 1080,102.4%
157,36282594,38%,75%,36%,AMD Ryzen 5 2400G,63.5%,AMD RX 580,52.6%
158,36282599,113%,98%,108%,AMD Ryzen 5 3600,95.7%,AMD RX 5700-XT,116.1%
159,36282603,46%,84%,39%,Intel Core i7-7700,78.4%,Nvidia GTX 1060-6GB,53.9%
160,36282607,108%,99%,91%,Intel Core i5-8600K,96.6%,Nvidia GTX 1070-Ti,108.5%
161,36282612,45%,78%,42%,AMD Ryzen 5 1600,74%,AMD RX 580,53%
162,36282618,81%,81%,74%,AMD Ryzen 5 2600,78.7%,Nvidia RTX 2060S (Super),100.1%
163,36282622,103%,98%,106%,AMD Ryzen 7 3800X,93.5%,Nvidia RTX 2070,107.8%
164,36282624,120%,90%,110%,Intel Core i7-9700K,86.6%,Intel UHD Graphics 630,4.7%
165,36282757,75%,95%,76%,Intel Core i7-10700,94.5%,Nvidia GTX 1660-Ti,76.9%
166,36282760,7%,60%,6%,Intel Core i5-3230M,61.5%,Intel HD 4000 (Mobile 1.25 GHz),1.8%
167,36282763,102%,99%,87%,Intel Core i7-7700K,91.1%,Nvidia GTX 1080,107.1%
168,36282767,47%,87%,44%,AMD Ryzen 5 2600X,84.8%,Nvidia GTX 1650,47.2%
169,36282771,120%,89%,109%,AMD Ryzen 5 2600X,87.5%,Nvidia GTX 1080-Ti,134.6%
170,36282777,55%,91%,57%,AMD Ryzen 7 3700X,85.1%,Nvidia GTX 1060-6GB,59%
171,36282784,26%,86%,23%,Intel Xeon E3-1231 v3,81.7%,AMD R9 270,25.6%
172,36282790,14%,76%,13%,Intel Core i5-7300HQ,75.5%,Intel HD Graphics 630,6.7%
173,36282794,23%,76%,20%,Intel Core i7-7700HQ,68.5%,Nvidia GTX 1050 (Mobile),24.7%
174,36282798,40%,80%,37%,Intel Core i7-9750H,82.5%,Nvidia GTX 1650 (Mobile),46%
175,36282806,9%,61%,8%,Intel Core i7-7700HQ,69.3%,Intel HD Graphics 630,7.1%
176,36282809,11%,68%,9%,Intel Core i7-2600,70.4%,Nvidia GTX 560,13.5%
177,36282813,46%,77%,37%,Intel Core i7 960,75.5%,Nvidia GTX 1650S (Super),58%
178,36282821,82%,86%,77%,AMD Ryzen 5 2600X,80.2%,Nvidia RTX 2060S (Super),99.3%
179,36282822,80%,101%,69%,Intel Core i7-6700K,94%,Nvidia GTX 1070,78.5%
180,36282826,4%,28%,4%,Intel Core i7-2670QM,29.3%,Intel HD 3000 (Mobile V1 1.1/1.2 GHz),0.9%
181,36282832,149%,98%,139%,AMD Ryzen 5 3600,93.1%,Nvidia RTX 3070,159.6%
182,36282837,162%,96%,146%,Intel Core i5-10400,87%,Nvidia RTX 3080,186.1%
183,36282842,138%,97%,140%,AMD Ryzen 7 3800X,91.4%,Nvidia RTX 3060-Ti,149.8%
184,36282845,84%,91%,67%,Intel Core i3-9100F,83.2%,Nvidia RTX 2060,97%
185,36282853,3%,46%,3%,Intel Core i5-5300U,49.4%,Intel HD 5500 (Mobile 0.95 GHz),3.8%
186,36282859,78%,95%,68%,Intel Core i7-9700F,90.8%,Nvidia GTX 1070,83.5%
187,36282865,205%,89%,205%,AMD Ryzen 7 2700X,88.3%,Nvidia RTX 3080,237.9%
188,36282868,158%,81%,183%,AMD Ryzen 9 3900 12-Core,72.7%,Nvidia RTX 3080,220.6%
189,36282870,39%,68%,32%,AMD FX-8350,66.6%,Nvidia GeForce GTX 1060 6GB,58.5%
190,36282885,83%,97%,78%,AMD Ryzen 5 3600,97.9%,Nvidia GTX 1660S (Super),81.3%
191,36282888,121%,96%,113%,AMD Ryzen 5 3600,88.6%,Nvidia RTX 2070S (Super),134%
192,36282889,22%,74%,19%,AMD Athlon 3000G,61.6%,AMD Radeon RX 560-B,21.5%
193,36284437,17%,79%,14%,Intel Core i7-3770K,79.4%,Nvidia GTX 660,18.7%
194,36284444,21%,92%,20%,Intel Core i7-1165G7,78.8%,Intel Iris Xe,20.8%
195,36284453,12%,61%,10%,AMD Athlon II X4 860K,54.5%,AMD R7 360,17.9%
196,36284456,12%,73%,11%,Intel Core i7-8550U,70.1%,Intel UHD Graphics 620 (Mobile Kaby Lake R),5.7%
197,36284459,135%,95%,137%,AMD Ryzen 7 3800X,95.1%,Nvidia RTX 2080S (Super),142.6%
198,36284462,88%,90%,82%,AMD Ryzen 5 3600X,88.4%,Nvidia RTX 2060,95.9%
199,36284467,30%,83%,26%,Intel Core i7-7700HQ,76.7%,Nvidia GTX 1050-Ti (Mobile),30.2%
200,36284470,51%,82%,47%,AMD Ryzen 5 2600,78.3%,Nvidia GTX 1060-3GB,55.5%
201,36284478,120%,91%,111%,AMD Ryzen 5 3600X,87.1%,Nvidia RTX 2080,136.9%
202,36284486,63%,89%,63%,AMD Ryzen 5 3600,77.5%,Nvidia GTX 1660S (Super),75.7%
203,36284493,48%,93%,56%,AMD Ryzen 9 3900XT,82.3%,Nvidia GeForce GTX 1650,47.6%
204,36284495,8%,65%,8%,Intel Core i7-4600U,65.4%,Intel HD 4400 (Mobile 1.0/1.1 GHz),2.7%
205,36284501,187%,105%,187%,Intel Core i9-9900KS,105.4%,Nvidia RTX 2080-Ti,181.6%
206,36284506,12%,71%,11%,Intel Core i7-6700HQ,72.5%,Intel HD 530 (Mobile Skylake),5.4%
207,36284508,70%,95%,70%,AMD Ryzen 7 4800H,88.3%,Nvidia GTX 1660-Ti (Mobile),70.9%
208,36284519,24%,88%,23%,AMD Ryzen 5 3400G,77.8%,AMD Radeon RX Vega 11 Graphics,18.1%
209,36284521,48%,90%,45%,AMD Ryzen 5 2600,84.2%,Asus Radeon RX 570,47%
210,36284524,63%,83%,48%,Intel Core i5-7400,78.9%,Nvidia GTX 1660-Ti,78.9%
211,36284528,96%,95%,97%,AMD Ryzen 7 3700X,89.3%,AMD RX 5700-XT,103.1%
212,36284532,236%,100%,267%,AMD Ryzen 9 3900XT,95%,Nvidia RTX 3090,254.4%
213,36284537,1%,38%,1%,AMD A10-9600P APU (2016 M.BR),39.1%,AMD Radeon R5 Graphics,4.3%
214,36284548,19%,77%,16%,Intel Core i5-3570,72.6%,AMD HD 7790,19.2%
215,36284550,25%,73%,20%,Intel Core i5-6400,73.3%,AMD RX 470,35%
216,36284558,2%,49%,1%,AMD A8-6600K APU,54.6%,Nvidia GeForce 9800 GT,6.5%
217,36284561,4%,39%,4%,AMD Ryzen 5 3500U,40.4%,AMD Radeon Vega 8 Graphics,2%
218,36284609,1%,64%,1%,Intel Core i5-4440,76.3%,Nvidia GeForce GT 630,3.4%
219,36284610,229%,100%,247%,Intel Core i9-10900KF,106.2%,Nvidia RTX 3080,223.2%
220,36284612,89%,97%,75%,Intel Core i7-4790K,88.4%,Nvidia GTX 1080,96.9%
221,36284614,12%,81%,11%,Intel Core i5-10600K,89.8%,Intel UHD Graphics 630,4.7%
222,36284618,36%,73%,27%,AMD FX-4350,65.7%,AMD RX 570,50.4%
223,36284621,75%,81%,73%,AMD Ryzen 7 2700X,78.4%,Nvidia RTX 2070,92.8%
224,36284623,70%,91%,66%,AMD Ryzen 5 1600X,83.6%,Nvidia GTX 1070,75.1%
225,36284628,93%,95%,82%,Intel Core i7-8700,95.2%,Nvidia RTX 2060,94.9%
226,36284632,74%,91%,63%,Intel Core i5-8400,86.1%,Nvidia GTX 1660-Ti,80.5%
227,36284635,1%,19%,1%,Intel Pentium N3710,21%,Intel HD Graphics,2.6%
228,36284640,46%,87%,37%,Intel Core i3-9100F,81.4%,AMD Radeon  RX 570 Graphics,50%
229,36284641,44%,83%,37%,Intel Core i7-4770,77.3%,Nvidia GTX 1060-3GB,52.4%
230,36284647,9%,61%,9%,AMD Ryzen 7 4800H,53%,AMD Radeon Graphics,7.3%
231,36284650,28%,70%,21%,Intel Core i5-7300HQ,62.9%,Nvidia GTX 1060 (Mobile Max-Q),40.1%
232,36284656,45%,81%,35%,Intel Core i5-6500,79%,Nvidia GTX 1060-3GB,55.5%
233,36284659,150%,92%,164%,Intel Core i9-10900X,86%,Nvidia RTX 3070,173.5%
234,36284664,5%,64%,5%,Intel Core i7-4700MQ,73.9%,Intel HD 4600 (Mobile 1.15 GHz),3.2%
235,36284681,142%,103%,123%,Intel Core i5-8600K,99.1%,Nvidia RTX 2080,142%
236,36284683,140%,98%,136%,AMD Ryzen 5 5600X,95.9%,Nvidia RTX 3060-Ti,145.6%
237,36284693,64%,83%,49%,Intel Core i5-3570,77.3%,Nvidia GTX 1070,80.3%
238,36284698,67%,90%,63%,AMD Ryzen 5 3600X,82.4%,Nvidia GTX 1660S (Super),74.5%
239,36284702,95%,96%,94%,AMD Ryzen 7 3700X,90.2%,AMD RX 5700-XT,100.8%
240,36284706,108%,94%,91%,Intel Core i7-7700K,88.8%,Nvidia GTX 1080-Ti,123.9%
241,36284707,112%,80%,114%,AMD Ryzen 7 1800X,80.6%,Nvidia GTX 1080-Ti,139.8%
242,36284713,4%,68%,4%,Intel Core i3-1005G1,65.6%,Intel UHD G1,4.9%
243,36284732,38%,88%,33%,Intel Core i5-9400,84.4%,Nvidia GTX 1650,40.6%
244,36285028,47%,86%,39%,Intel Core i5-9400F,84.1%,Nvidia GTX 1660-Ti,54.1%
245,36285036,41%,80%,40%,AMD Ryzen 7 1700,74.1%,AMD RX 580,44.6%
246,36285041,2%,45%,2%,Intel Core2 Duo E8600,43.7%,Nvidia Quadro 600,3%
247,36285049,190%,87%,178%,Intel Core i7-8700K,80%,Nvidia RTX 3090,245.5%
248,36285058,33%,71%,26%,AMD FX-6350 Six-Core,65.5%,AMD R9 290,48.3%
249,36285066,86%,90%,82%,AMD Ryzen 5 3600,83.5%,Nvidia RTX 2060S (Super),99.9%
250,36285069,63%,74%,48%,Intel Core i5-3570,72.2%,Nvidia RTX 2060,93.3%
251,36285119,103%,90%,94%,AMD Ryzen 7 3700X,80.9%,Nvidia RTX 2070S (Super),122.9%
252,36285129,87%,91%,73%,Intel Core i7-6700K,88.2%,Nvidia GTX 1070-Ti,96.8%
253,36285132,99%,100%,96%,Intel Core i7-9700K,100.6%,Nvidia RTX 2060,94.9%
254,36285136,9%,62%,8%,Intel Core i7-3770,67%,Nvidia GeForce GT 640,5.2%
255,36285137,172%,92%,173%,AMD Ryzen 7 3700X,93%,Nvidia RTX 2080-Ti,188.9%
256,36285143,0%,16%,0%,AMD E-450 APU,16.8%,AMD Radeon HD 6320,0.8%
257,36285146,23%,76%,20%,Intel Core i7-4770K,68.4%,Nvidia GTX 1050-Ti,28%
258,36285148,42%,81%,33%,Intel Core i5-6500,77.1%,AMD RX 470,48.2%
259,36285151,9%,67%,8%,Intel Core i7-7500U,68.9%,Nvidia 940MX,9.1%
260,36285154,73%,97%,66%,Intel Core i7-10750H,93.3%,Nvidia RTX 2060 (Mobile),73.4%
261,36285157,30%,69%,24%,Intel Core i5-7300HQ,61.8%,Nvidia GTX 1060 (Mobile Max-Q),45.1%
262,36285159,85%,92%,84%,AMD Ryzen 7 2700X,87.2%,Nvidia GTX 1070,90.8%
263,36285165,4%,50%,4%,Intel Core i7-4500U,53.2%,Intel HD 4400 (Mobile 1.0/1.1 GHz),3.1%
264,36285206,34%,76%,27%,Intel Core i5-3570K,65.9%,Nvidia GTX 1060-3GB,50.3%
265,36285207,123%,109%,120%,Intel Core i9-9900KF,105.5%,Nvidia GTX 1080,113.2%
266,36285212,68%,90%,65%,AMD Ryzen 5 3600X,85%,Nvidia GTX 1660-Ti,77.6%
267,36285237,118%,99%,112%,AMD Ryzen 5 5600X,96.9%,Nvidia RTX 2070S (Super),121.5%
268,36285245,40%,92%,35%,Intel Core i7-9750H,86.2%,Nvidia GTX 1650 (Mobile),42.8%
